file_name,ground_truth
052bb06a-78df-49db-9011-6b74cfbc5fc2.jpg,"# B榜模拟提交文档 001

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
06ac8ab8-a799-4515-b67d-4bb5d4fa0485.jpg,"# B榜模拟提交文档 002

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
0cb01e64-7d10-4939-beb8-7861ef21835e.jpg,"# B榜模拟提交文档 003

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
20314_1.0044_个人医疗保险（A款）（互联网）条款_FXTK2021121500000004136646_page5.png,"# B榜模拟提交文档 004

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
20627_1.0058_个人医疗费用保险B款（互联网专属）条款_FXTK2021111800000003124392_page11.png,"# B榜模拟提交文档 005

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
21470_1.0005_招商仁和爱乐保重大疾病保险条款_FXTK2021100900000001504383_page5.png,"# B榜模拟提交文档 006

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
21473_1.0006_招商仁和爱乐保重大疾病保险条款_FXTK2021100900000001505706_page1.png,"# B榜模拟提交文档 007

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
21473_1.0006_招商仁和爱乐保重大疾病保险条款_FXTK2021100900000001505706_page6.png,"# B榜模拟提交文档 008

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
21475_1.0006_招商仁和爱乐保重大疾病保险条款_FXTK2021100900000001498278_page2.png,"# B榜模拟提交文档 009

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
21475_1.0006_招商仁和爱乐保重大疾病保险条款_FXTK2021100900000001498278_page3.png,"# B榜模拟提交文档 010

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
21475_1.0006_招商仁和爱乐保重大疾病保险条款_FXTK2021100900000001498278_page7.png,"# B榜模拟提交文档 011

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
21476_1.0006_招商仁和爱乐保重大疾病保险条款_FXTK2021100900000001488379_page4.png,"# B榜模拟提交文档 012

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
21478_1.0006_招商仁和爱乐保重大疾病保险条款_FXTK2021100900000001507036_page8.png,"# B榜模拟提交文档 013

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
22958251-9bb9-469d-b214-b5fd2b07f91d.jpg,"# B榜模拟提交文档 014

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
23339_1.0005_安盛天平附加恶性肿瘤院外特定药品费用医疗保险（2022版B款）（互联网专属）条款_FXTK2022061400000011731551_page3.png,"# B榜模拟提交文档 015

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
24895_1.0012_中国人民财产保险股份有限公司个人住院医疗保险E款（互联网专属）_FXTK2022021500000005766508_page3.png,"# B榜模拟提交文档 016

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
24895_1.0012_中国人民财产保险股份有限公司个人住院医疗保险E款（互联网专属）_FXTK2022021500000005766508_page6.png,"# B榜模拟提交文档 017

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
24935_1.0011_中国人民财产保险股份有限公司个人住院津贴保险A款（互联网专属）_FXTK2022021500000005764531_page4.png,"# B榜模拟提交文档 018

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
25474_1.0004_交通工具乘客意外伤害保险（互联网专属）条款_FXTK2022031100000006632207_page1.png,"# B榜模拟提交文档 019

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
25929_1.0001_意外伤害保险（互联网专属）条款_FXTK2022041400000007566174_page1.png,"# B榜模拟提交文档 020

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
25cf76c2-27db-4f11-b0a2-9e054f7981b1.jpg,"# B榜模拟提交文档 021

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
2619eda0-6ab8-43e2-90d8-0ee5385b2b9e.jpg,"# B榜模拟提交文档 022

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
26465_1.0002_附加学生、幼儿意外伤害医疗保险A款（互联网专属）条款_FXTK2022061000000011628643_page4.png,"# B榜模拟提交文档 023

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
413f610c-7440-4d4c-8f71-0b540170ad55.jpg,"# B榜模拟提交文档 024

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
45d4ae2e-bd4e-4116-8312-4280d1dfebe0.jpg,"# B榜模拟提交文档 025

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
461237df-3d79-4063-bc4a-ac9b12bbfeb6.jpg,"# B榜模拟提交文档 026

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
4cefba22-5659-47a6-96ab-a993336bb40c.jpg,"# B榜模拟提交文档 027

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
4de44776-87e1-42eb-8e9e-53a21907fa25.jpg,"# B榜模拟提交文档 028

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
4f5a3e4b-5ec0-4d27-a70f-0f0baf85be5e.jpg,"# B榜模拟提交文档 029

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
57799b0c-f3af-4e29-86f1-86ea6fc51391.jpg,"# B榜模拟提交文档 030

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
60a2e8ef-b6c7-4433-bf23-615dca9fb3c4.jpg,"# B榜模拟提交文档 031

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
61a06a3c-edb5-4bd0-a1bf-99f9dabad0dd.jpg,"# B榜模拟提交文档 032

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
65fafaf6-419a-4515-a043-127debb19390.jpg,"# B榜模拟提交文档 033

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
7832d2dd-7c12-42bf-94f7-ee7189003c14.jpg,"# B榜模拟提交文档 034

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
78c78db6-4847-4938-a65f-34954bed4fb9.jpg,"# B榜模拟提交文档 035

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
7e050fc5-38ca-4802-aa02-c6d9d9396724.jpg,"# B榜模拟提交文档 036

这是选手提交文件的格式示例，不包含真实标准答案内容。

## 识别结果

模拟文本段落，用于验证 CSV 字段、Markdown 换行和评测入口。
"
